id,question,answer
7,Who can order a new library item?,"To suggest a book to the library, fill out this form: Suggest New Title.
To follow up on your book request, you may contact the Acquisitions Department at acquis@aub.edu.lb"
37,Can I order a library item,"To suggest a book to the library, fill out this form: Suggest New Title.
To follow up on your book request, you may contact the Acquisitions Department at acquis@aub.edu.lb"
8,How do I find and evaluate information on the internet?,"Kindly follow the Internet Search guide, and particularly this page to learn more about evaluating sources from the Web.
You can also schedule a one-on-one session with a librarian via this form, or by phone: +961-1-350000 ext: 2620, or by email: jftref@aub.edu.lb"
38,How to research,"Kindly follow the Internet Search guide, and particularly this page to learn more about evaluating sources from the Web.
You can also schedule a one-on-one session with a librarian via this form, or by phone: +961-1-350000 ext: 2620, or by email: jftref@aub.edu.lb"
9,How can I take an appointment with the writing center?,"Kindly go to the Writing Center website and click on Schedule an Appointment (located second on the left sidebar).
You may also contact them by email: writingcenter@aub.edu.lb or by phone Ext:  3157"
39,Can I go to the writing center,"Kindly go to the Writing Center website and click on Schedule an Appointment (located second on the left sidebar).
You may also contact them by email: writingcenter@aub.edu.lb or by phone Ext:  3157"
10,Is English Entrance Exam EEE available in the library? Can I borrow it?,"The library does not have any EEE books.
Please check with the Office of Institutional Research and Assessment Nicely Hall room 501 or contact them by phone 01-350000 Ext. 3131. They have EEE booklets and samples that you can use."
11,Are there any fines on overdue items?,"Overdue fines are 1$ per day for any library item.
For any unpaid fine, you will receive up to three email notices from the library until fines are paid. After these notices, if fines are not paid, they:
will be added to your Statement of Fees (Student).
will be deducted from your salary at the end of the month (Staff).
If you have further questions, check the following link:
https://www.aub.edu.lb/Libraries/Services/Pages/Students.aspx (Student)
https://www.aub.edu.lb/Libraries/Services/Pages/Faculty.aspx (Faculty)"
40,How much do I pay on overdue items,"Overdue fines are 1$ per day for any library item.
For any unpaid fine, you will receive up to three email notices from the library until fines are paid. After these notices, if fines are not paid, they:
will be added to your Statement of Fees (Student).
will be deducted from your salary at the end of the month (Staff).
If you have further questions, check the following link:
https://www.aub.edu.lb/Libraries/Services/Pages/Students.aspx (Student)
https://www.aub.edu.lb/Libraries/Services/Pages/Faculty.aspx (Faculty)"
12,Where do I get help with my thesis?,"For research help you can:
Visit the Reference Desk at Jafet Library.
Request an appointment for one-to-one help by using this FORM.
For citation software help:
Register for a session on EndNote, by e-mail: jftref@aub.edu.lb.
For thesis formatting and submission:​
Email: lib-thesis@aub.edu.lb
Call: +961 1 350000 x 2659, 2145, 2635 
Book an appointment with a librarian
Check the Thesis Writing Hub"
41,Thesis help,"For research help you can:
Visit the Reference Desk at Jafet Library.
Request an appointment for one-to-one help by using this FORM.
For citation software help:
Register for a session on EndNote, by e-mail: jftref@aub.edu.lb.
For thesis formatting and submission:​
Email: lib-thesis@aub.edu.lb
Call: +961 1 350000 x 2659, 2145, 2635 
Book an appointment with a librarian
Check the Thesis Writing Hub"
13,Where can I find previous exams?,"Previous exams are posted electronically and can be downloaded on and off-campus.
From the Library webpage under Resources, please choose the Course Reserve tab and search for the course name.
For example: MATH-201."
42,Previouses,"Previous exams are posted electronically and can be downloaded on and off-campus.
From the Library webpage under Resources, please choose the Course Reserve tab and search for the course name.
For example: MATH-201."
14,Can I access online resources from off-campus?,"To access licensed library resources from off-campus, you need a valid AUBnet user ID and password. If you are an active AUB user, your AUBnet account is your email/Internet account (without the @aub.edu.lb).
For more information about off-campus access and system configuration please visit the Connect from Off-Campus section.
If the problem persists, please contact the Automation Department by phone 01-350000 ext. 2604 or by email: monassi@aub.edu.lb."
43,Can I use resources online,"To access licensed library resources from off-campus, you need a valid AUBnet user ID and password. If you are an active AUB user, your AUBnet account is your email/Internet account (without the @aub.edu.lb).
For more information about off-campus access and system configuration please visit the Connect from Off-Campus section.
If the problem persists, please contact the Automation Department by phone 01-350000 ext. 2604 or by email: monassi@aub.edu.lb."
15,Why is the full-text of the article not available electronically?,"We might not have the full-text of the article for the following reasons:
The library might not have a subscription to the electronic version of the journal.
The library might have a subscription to the electronic version of the journal, but not the volume in which the article appears in.
The publisher or distributor may not yet have all issues of the journal available online.
Technical problem
You may order the article by filling out this form.
For more information you may Chat with us, Ask-a-Librarian or email us at: jftref@aub.edu.lb"
16,How do I access the full-text of an article?,"Type the title of the article in question on the search bar on the library webpage.
In the search results page, if you locate the article and you find ""Fulltext Online"" under it, then you may click on it to access the article. If you find ""Citation Online"" then the article is not available in our collection.
Kindly note if you are off-campus, once you click on ""Fulltext Online"" it will redirect you to an ezproxy page requesting you to enter your AUB username & password. Once you do, you will have access to the article."
17,"How do I borrow a book, and for how long?","You may borrow and return books at the Circulation Desk.
To borrow a book, locate it in the Library Catalog, get the Call No. and hand it to the Circulation Desk. Click on Borrower Categories for users privileges.
The library has open stacks service for faculty and graduate students who are expected to locate the needed books on their own. Circulation staff are available for help when needed."
18,How do I reserve a carrel?,"Students writing their thesis should fill the form: Reserve a Carrel
N.B: Make sure to read the instructions first.
For further assistance please contact Mrs. Carla Chalhoub, Access Services Librarian, by email: cc05@aub.edu.lb or by phone: 01-350000 ext. 2619."
19,Is there any way to get access to books in the library? (for example in PDF format),"Kindly follow the steps below:
Go to the aub library webpage
Type the keyword in the main search box
On the results page, select ""Books/ebooks"" on the left side.
Once the results are limited, look for the e-book you need,
If you find it with ""Full-text Online"" then you can click on it and access the ebook
If you find ""citation online"" it means it is not accessible
If you find a call number such as ""J 634.45:B948:c.1"" it means the book is available in print at the library
If you don't find it in the results, then it is not available.
In the last three options, you can order a couple of chapters via the DDS Form."
20,How can I find what is on-Reserve for my class?,"Print books of course materials are available at the Circulation Desk.
For materials posted electronically, go to Course Reserve, located under the search box of the Library webpage and look for the course, for example: MATH-201 (password is obtained from the professor/ if needed).
Previous exams are posted electronically and can be retrieved as well.
For additional help, please look at a sample search."
21,"Can I print, scan and photocopy documents in the Library?","To use the network printers, scanners or the photocopiers in the libraries, you should be an active AUBnet user (registered user) and have a printing/copying/scanning quota with sufficient funds.
For additional information, please follow this link."
22,How do I find who cited my work?,"Access our Citation Tracking guide and learn more about bibliometrics, H-index, citation alerts and tracking.
For more information, contact the Reference Desk at jftref@aub.edu.lb or by phone ext. 2620."
23,How can I renew borrowed books?,"You are responsible for renewing your materials, in person, at the Circulation Desk in the libraries or online, after clearing any outstanding fines and overdue items.
For Online Renewal go to My Library Account enter your AUBnet account and password (email account/password).​​ You can only renew online twice.
F​​or more details on renewals, ​​​​​​​​​​recall, and lost or damaged items​ check here, or contact the Circulation desk at ext. 2618 or send an email to libcirc@aub.edu.lb."
24,Do you have any genealogy resources to help Lebanese emigrants obtain info about their family origins?,"You can have a look at our Genealogy Research Guide where you will find useful links and resources.
However, please keep in mind that it is very difficult to track down information about Lebanese genealogy unless there are specific details related to the person/family (political stance, prominent relatives, events, etc.).
The best way to find information is usually via the notary/municipality of the area in which they lived or the religious center of their area of residence."
25,Can I e-mail a query to the Library?,"You can email us your queries at jftref@aub.edu.lb or fill this form.Reference staff will get back to you within 24 hours. You can also chat with a librarian and get answers promptly by clicking on the chat icon from the library webpage."
26,Can I use my laptop and wireless connection in the libraries?,"In order to use the wireless network, AUB members (students, faculty and staff) should first configure their laptops/smart phones/tablets at the IT Customer Services Department (Tel: 01-350000 ext. 2260/ by email: IT.SECURITY@aub.edu.lb) or at the IT desk in Jafet Library-computer lab (ext: 2627).
List of Software available on the Library Computers
Microsoft Office 2010 (Word, Excel, PowerPoint, Access, InfoPath, Publisher...)
Quick time
Roxio Creator (for CD-DVD copy)
Adobe Acrobat Reader
Adobe Flash Player
Power DVD
Windows Media Player
SPSS
Java Virtual Machine
Finale 2011 Music Software (installed on 5 computers in Jafet Library Lab)
For more details check the following link."
27,Can AUB alumni use AUB libraries?,"AUB alumni are welcome to use the library resources inside the library. To borrow library resources, AUB alumni should obtain a card.
For more details check the following link or contact the Access Services Librarian's office, Ms. Carla Chalhoub by phone Tel. 01350 000 (ext. 2619),or email: cc05@aub.edu.lb."
28,How do I find encyclopedias / dictionaries / statistics / standards and other ready reference?,"To find ready and quick references, take a look at our E-Reference guide.
You may also:
Search using the library catalog
Visit the Reference Desk in the libraries (Jafet, Science, Engineering and Saab Medical) for help
Chat with us by clicking on the chat icon from the library webpage
E-mail us your query at Ask a Librarian"
29,How and where do I publish?,"Access our Where should I Publish guide and learn more about publishing, journal directories, impact factor and open access journals.
For more information contact the Reference Desk at jftref@aub.edu.lb or by phone ext 2620."
30,Does the library provide a chat service?,"You may chat with us by clicking on this icon    located on the right sidebar of the Library webpage.
Reference librarians are more than happy to assist you and answer your queries promptly.
When the chat is offline, it will switch to Ask a Librarian. You can ask your question and we will get back to you within 24hrs usually."
31,How do I get help with my research?,"Reference Services are offered in a variety of ways:
Walk-in:
Come to the Reference Desk anytime during Reference hours.
Jafet Library
Engineering and Architecture Library
Science and Agriculture Library
Saab Medical Library
Chat:
Click on the chat icon from the library webpage to chat with a librarian.
E-mail:
Send your questions via Ask a Librarian or by e-mail and we will answer promptly:
Jafet Library: jftref@aub.edu.lb
Science & Agriculture Library: scilib@aub.edu.lb
Engineering & Architecture Library: englib@aub.edu.lb
Saab Medical Library: sml@aub.edu.lb
Call:
Jafet Library: ext. 2620/1
Science & Agriculture Library: ext. 2640/1
Engineering & Architecture Library: ext. 2630-33
Saab Medical Library: ext. 5900/5917
One-on-one:
For in-depth help, Reference Librarians offer one-on-one research assistance sessions.
Feel free to drop by anytime during opening hours or schedule a session using this FORM."
32,How can I locate the databases?,"To access the library databases, kindly follow the below steps:
Go to Libraries from the top menu bar
Click on databases under the search bar.
You can look for a database according to its title (from the A-Z list) or subject (by choosing one from the ""Find Resources by Subject"" drop menu)."
