name,description
American Academy of Pediatrics (AAP),"Published by the American Academy of Pediatrics (AAP), this database provides access to the full-text of leading scientific journals in the field of pediatrics such as Pediatrics, Hospital Pediatrics, and Pediatrics in Review.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
American Association for Cancer Research (AACR),"The database provides full-text access to the journals of the AACR, covering the entire spectrum of cancer research from molecules to medicine and from proteomics to prevention. Journals are Cancer Discovery; Cancer Epidemiology, Biomarkers and Prevention; Cancer Prevention Research; Cancer Research; Clinical Cancer Research; Molecular Cancer Research; and Molecular Cancer Therapeutics.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
American Concrete Institute (ACI),"Provides access to ACI Structural Journal and ACI Materials Journal and technical documents. The ACI website allows users to browse the Concrete Industry magazine, ACI handbooks and manuals, technical documents including standards, list of resources and programs for educators and researchers and more.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: 2012 to present"
American Economic Association Journals,"Collection of full-text journals published by the American Economic Association.<br />  Journals are accessible from volume one, issue one and covers broad economic topics. <br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
American Geophysical Union (AGU) Journals,"Full-text scholarly journals covering research in the earth and space sciences, from the initial journal publication dates to present. Topics covered include Atmospheric Science; Climate change; Engineering and Applied Geophysics, Geochemistry, Mineralogy, Geology and Geophysics; Hydrology, Cryosphere, and Earth Surface.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
American Heart Association Journals,Collection of full-text journals published by the American Heart Association. It provides research in the fields of cardiovascular and cerebrovascular medicine and covers Internal Medicine and Cardiology.<br />  <br />  Availability: Full-text<br />  Date coverage: All from vol. 1
"American Hebrew & Jewish Messenger, The (1857-1922)","Covers the publications of The American Hebrew (1879-1902; 1922), The American Hebrew & Jewish Messenger (1903-1922) and The Jewish Messenger (1857-1902)"""
American Mathematical Society (AMS) Publications,"Collection of full-text journals published by the American Mathematical Society as well as publications and services freely available. Journals are accessible from volume one, issue one. Covers pure and applied mathematics topics.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
American Mathematical Society e-books,"AMS e-books provides full-text access to online books published by the American Mathematical Society, one of the world's leading publishers of mathematical literature.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
American Periodicals,"Collection of digitized images of the pages of over 1,000 American magazines and journals published from 1740 to 1940 on various topics. The collection contains labor, trade, literary, scientific, and photographic periodicals, as well as other historically significant titles. Contents include America's first scientific journal, medical repository, popular magazines, and professional journals. <br />  <br />  Availability: Full-text images<br />  Data Coverage: 1740-1940"
American Physical Society (APS) Journals,"Collection of physical review journals published by the American Physical Society (APS), including Physical Review Letters, Reviews of Modern Physics, Physical Review A, Physical Review B, Physical Review C, Physical Review D, Physical Review E, Physical Review Special Topics, Physics.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v. 1"
American Physiological Society (APS) Journals,"Published by the American Physiological Society (APS), this database contains full-text of 15 highly regarded, peer-reviewed journals examining major physiological systems from the cellular and molecular to the organ and system level.  <br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
American Society for Microbiology Journals,"Provides full-text access to the contents of 11 journals published by the American Society for Microbiology including Antimicrobial Agents and Chemotherapy, Applied and Environmental Microbiology, Journal of Bacteriology, Journal of Virology, etc. <br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
American Society of Civil Engineers Library (ASCE),"Collection of journals and conference proceedings published by ASCE. The Library includes all 33 ASCE journals from 1983 to present as well as ASCE conference proceeding from 2000 to present. Technical and professional interest areas include: aerospace, architecture, computing in civil engineering, construction, energy, engineering mechanics, hydraulic, and transportation.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1983 to present"
American Society of Mechanical Engineers  Digital Collection (ASME),"The collection provides full-text access to the publications of the American Society of Mechanical Engineers, journals, conference proceeding, and book codes for mechanical devices.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1960 to present"
An-Nahar = النهار,"An-Nahar Premium offers a selection of exclusive content, opinions, editorials, and obituaries. It covers the most important Lebanese, Arab and international news pertaining to political, economic, social and cultural fields.<br />  Availability: Full-text<br />  Date Coverage: 2012 to present"
Animal Health and Production Compendium (AHPC),"Published by CAB International, AHPC is an interactive and comprehensive encyclopaedia focusing on animal diseases, their pathogens and vectors, as well as animal husbandry, genetics and nutrition of livestock and poultry species and breeds. This compendium includes datasheets, bibliographic records, images, and a glossary. <br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage:  1700s to present"
Animal Science Collection,
Annahar = النهار,"A digitized copy of Annahar newspaper (1933-2009).<br />  <br />  Availability: Full-text<br />  Print Equivalent: Annahar Daily<br />  <br />  Note: August 4, 1933-2009 (Date Search) and January 1, 1992 to December 31, 1998 (Index Search)"
Annahar Online,"Index to al-Nahar newspaper 1984 onward and full-text search and access from 1995 onward. The database is searchable by author, title, date, etc… Provides an easy and rapid access to “An-Nahar” index as well as the press-clipping and photos sections.<br />  <br />  Date Coverage: 1984-2012<br />  Hint: To read full text articles published between 1985 and 1994, click on ""صفحة الجريدة"" to download the whole page in TIFF format."
Annotated Legal Documents on Islam in Europe Online,
Annual Reviews,"Offers comprehensive, timely collections of critical reviews of primary research literature in the Biomedical, Life, Physical, and Social Sciences. Coverage of significant developments is provided in volumes for 52 focused disciplines within those broad areas, including biochemistry, biology, economics, marine science, medicine, nutrition, physics, public health, psychology, and sociology. <br />  <br />  Availability: Full-text<br />  Date Coverage: All from v. 1"
AOCS Methods,"Published by the American Oil Chemists' Society, AOCS methods are the most comprehensive collection of analytical testing methods advancing the science and technology of oils, fats, proteins, surfactants, and related materials."
APA Handbooks in Psychology,Collection of full-text electronic handbooks published by the American Psychological Association. <br />  <br />  The library is providing a one-stop shop for both overviews and in-depth analyses of a variety of sub-fields within psychology.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies
APA PsycArticles,"A psychology database of full-text articles from journals published by the American Psychological Association and other publishers.<br />  Subjects covered include behavioral sciences and therapies, biomedical sciences and health, nursing, psychiatry, sociology, theory, personality and more. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1894 to present"
APA PsycBooks,A comprehensive full-text electronic library of scholarly and peer reviewed books published by the American Psychological Association. The library provides access to publications in psychology and behavioral sciences.    <br />  <br />  Availability: Full-text<br />  Date Coverage: 1590-2020
APA PsycINFO,"Citations and summaries of journal articles, book chapters, books, and dissertations in the field of psychology.<br />  This database, provided by the American Psychology Association (APA) covers the field of psychology and psychological aspects of related disciplines, such as medicine, psychiatry, nursing, etc...<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1887 to present"
APA PsycTESTS,"APA PsycTests indexes a wide variety of test types and instruments including aptitude tests, personality scales and cognitive functioning measures."
Aquaculture compendium,"Published by CAB International, Aquaculture Compendium is an interactive and comprehensive encyclopedia covering all aspects of aquaculture including aquatic animal and plant production, biodiversity, food security and safety, poverty alleviation, etc. This compendium includes datasheets, case studies, bibliographic database, images, and an interactive glossary.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: 1800s to present"
Arab American History (1892-2020),"Digital collections of Arabic language newspapers published in North and South America from the late 1880s to the mid-1900s. Sample titles are al-Akhlak, al-Bayan, al-Funun, al-Hoda, Kawkab Amirka, and Mira’at al-Gharb. The database is browsable and full text searchable in Arabic. First-time users must create a personal account. Founded by Khayrallah Center at North Carolina University.<br />  <br />  Availability: Full text<br />  Date Coverage: 1894-1960"
Arab Digest,
Arab World Research Source: AL Masdar,"A multidisciplinary full-text database covering a wide range of topics. The database contains academic journals, magazines, trade publications, conference papers and industry profiles published in or about the Arab World. Nearly 160 scholarly full-text titles are available in Arabic.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1974 - Present"
"Arab-Israeli Relations, 1917-1970: The Middle East Online, Series 1","Full-text database of original materials from the British Foreign Office, Colonial Office, War Office, and Cabinet Papers from the 1917 Balfour Declaration through to the Black September war of 1970-1. The database provides access to over 137,000 pages documenting the politics, administration, wars and diplomacy of the Palestine Mandate, the Independence of Israel and the Arab-Israeli conflict.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1917-1970"
Arabic Citation Index (ACI),Coverage: 2015-present
Arabic Collections Online (ACO),"An Arabic digital library funded by New York University, Abu Dhabi and partner institutions: Columbia, Princeton, Cornell, and the American University of Beirut. Provides full-text access to books in the public domain drawn from Arabic collections of prominent libraries. Subjects covered: fiction, poetry, literature, culture and society, history, and Arabic language.<br />  <br />  Availability: Full-text<br />  Date Coverage: Books in the public domain"
Arabic Literature of Africa Online,"A bio-bibliography on the Arabic manuscript tradition in the African continent, which continued well into the 20th century CE. It offers authoritative information about African authors, the texts they wrote in Arabic, the manuscripts in which these texts are found, and the locations of these manuscripts, together with bibliographical references to the literature. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1994"
Art Full Text,"A comprehensive resource for art information offering full-text plus abstracts and indexing of an international array of peer-selected publications including journals, dissertations and art reproductions. The database covers fine, decorative and commercial art, folk art, photography, film, and architecture, and also includes a database-specific thesaurus. <br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: 1972 to present"
Arts & Humanities Citation Index (A&HCI),"A multidisciplinary database indexing leading arts and humanities journals. This bibliographic database is accessed via Web of Science and allows cited reference searching, results analysis, and citation mapping. Subjects covered include archeology, architecture, dance, film and theater, history, linguistics, literature, music, philosophy, and religion.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1975 to present"
ARTstor,"Image database containing over 2 million high-quality images in all areas of the arts. Features works of art from museums, photo archives, scholars, and artists. Covers many time periods and culture, and documents the fields of architecture, painting, sculpture, photography, fashion and other forms of visual culture. Users can view, enlarge, download, and compare images. <br />  <br />  Date Coverage: Varies<br />  Hint: Log-in is require to save and download images"
arXiv.org,"Created by Paul Ginsparg at the Los Alamos National Laboratory, New Mexico and launched in 1991, arXiv.org is a fully automated electronic archive and distribution server for research papers. Areas covered include physics and related disciplines, mathematics, nonlinear sciences, computational linguistics, and neuroscience. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1991 to present"
As-Safir Newspaper Archives (1974-2016),"As-Safir is a leading Lebanese newspaper established in 1974. The newspaper stopped publication on December 31, 2016. As-Safir newspaper archives include political, cultural, and other news, in addition to interviews, reports, and more content. It is searchable by keyword, title, author, photographer, location and more. You must create a personal to access full text content. <br />  Availability: Full-text<br />  Date Coverage: 1974-2016"
ASFA: Aquatic Sciences and Fisheries Abstracts,"Produced in partnership with FAO, the Aquatic Science & Fisheries Abstracts (ASFA) database is an abstracting and indexing service covering the world's literature on the science, technology, management, and conservation of marine, brackish water, and freshwater resources and environments, including their socio-economic and legal aspects.  The overall objective of ASFA is to disseminate information on aquatic sciences and fisheries to the world community, bearing in mind the special interests of developing countries in this field.<br />  Below are the included databases in ASFA:<br />  •	Aquatic Science & Fisheries Abstracts (ASFA) 1: Biological Sciences & Living Resources <br />  •	Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources <br />  •	Aquatic Science & Fisheries Abstracts (ASFA) 3: Aquatic Pollution & Environmental Quality <br />  •	Aquatic Science & Fisheries Abstracts (ASFA) Aquaculture Abstracts <br />  •	Aquatic Science & Fisheries Abstracts (ASFA) Marine Biotechnology Abstracts <br />  •	Oceanic Abstracts <br />  Coverage: 1971 - Current "
Assafir = السفير,"A digitized copy of Assafir newspaper (1974-2011).<br />  Availability: Full-text<br />  Print equivalent: Assafir Daily<br />  <br />  Note: March 26, 1974 to 2011 (Date Search)<br />  March 26, 1974 to December 31, 1994 (Index Search)"
Associated Press Collections Online: The Middle East Bureaus Collection,"Full text database offering access to records from Associated Press bureaus in Ankara, Beirut, and Jerusalem. Includes wire reports, photographs, and internal communications. Most covered topics are military operations, civil and global wars, diplomacy, refugees, cultural clashes, and terrorism.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1967-2005"
ASTM Standards and Engineering Digital Library,"Full-text access to  journals, technical papers, standards and data series from ASTM.<br />  The Digital Library covers a broad range of engineering disciplines, including aerospace, biomedical, chemical, civil, environmental, geological, health and safety, industrial, materials science, mechanical, nuclear, petroleum, soil science, and solar engineering. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1931 to present"
"Atlantic, The","The Atlantic is one of the United States oldest and most prestigious monthly magazines covering major issues in politics, foreign affairs, the economy and cultural trends.<br />  Coverage: May 2014 - Present"
AUB Databank,"A repository where one can find different datasets generated by AUB faculty members or acquired by the University Library upon the request of AUB research community. The repository holds a wide range of datasets from different disciplines and in different formats. Each dataset has its own access license: some of the datasets are openly accessible to all, others are accessible only by a request to the authors, and some datasets are only accessible to AUB community through username and password. AUB research community is invited to submit reusable research data to this repository in response to funding agencies and increase their research visibility as AUB databank is indexed by all search engines.<br />  <br />  Contact scholarworks@aub.edu.lb for more information on how to use or submit a dataset”."
AUB Landscape Plant Database,"Developed by AUB's LDEM Department, this database focuses on native, naturalized, and ecologically suitable plant species for the Middle East. The database may be searched by name (common or scientific) or by criteria such as geographical location, climate, and plant type. It contains a rich image gallery and a helpful glossary.<br />  <br />  Availability: Full-text and images<br />  Date Coverage: Varies"
AUB Nature Conservation Center Plant Database,"AUB's Nature Conservation Center Plant Database is a culmination of more than ten years of effort in research by experts in agriculture, biology, chemistry, economics, medicine, nutrition and other fields. It provides information (taxonomy, cultivation, nutritional facts, location, nomenclature, experiments, etc.) about native plants that may be searched by scientific name or common name (English, Arabic, and French)."
Avery Index to Architectural Periodicals,"Published by the Avery Architectural and Fine Arts Library at Columbia University, this database offers a comprehensive listing of journal articles published worldwide on architecture and design, archaeology, city planning, interior design, landscape architecture, and historic preservation. It also includes publications of professional associations, plus state and regional periodicals.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1800s to present"
Baghdad Observer Digital Archive,Coverage: 1967-1996
"Banker, The","The Banker, from the Financial Times, has been providing global financial intelligence and has built a reputation for objective and incisive reporting on major breaking events. Delivering data and analysis vital to the banking and finance sectors.<br />  <br />  Coverage: August 2016 - Present"
Bates' Visual Guide to Physical Examination,"A collection of 18 volumes of head-to-toe and systems videos for learning physical assessment, with a range of patient profiles.<br />  <br />  Each video shows a step by step physical examination. User may watch a full volume or view chapter-by-chapter.<br />  <br />  Availability: Streaming videos<br />  Date Coverage: Current"
Beirut Built Environment Database (BBED),"The BBED is a platform that brings together a collection of maps, documents, and surveyed indicators about actors (e.g., builder, developer, landowner) as well as spatial (e.g., vacancy, floors, parking) and environmental characteristics (e.g., water, greenery, infrastructure lines).<br />  <br />  Coverage: Updated regularly."
Berlin Philharmonic Digital Concert Hall  (First-time user should create an account),"Collection of hundreds of exclusive classical concert videos, symphonies and vocal works, artist interviews, documentaries and more.<br />  <br />  Availability: Streaming videos<br />  Date Coverage: Varies<br />  Limitations: 3 users at a time<br />  <br />  Note: Users must set up an account while on campus, using the ""Get Free and Easy Access - Just Sign Up"" button within The AUB pop-up window. Once registered, content is accessible from anywhere."
Bibliography of the History of Art (BHA),"Two bibliographic databases BHA (Bibliography of the History of Art) and RILA (Répertoire International de la Littérature de l'Art) published by Getty Research Institute. The database covers European and American visual arts material. Indexes books, conference papers, dissertations and journal articles. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1975-2007"
Biography Index Retrospective: 1946-1983 (H.W. Wilson),"A biographical index listing over 627,000 articles, book citations, interviews, profiles of history makers, obituaries, letters, diaries, and memoirs. Includes notable information on artists, business people, politicians, scientists, writers and others. Topics covered range from art history, architecture, graphic arts, to industrial design, folk art, non-western art and much more.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1946 - 1983"
BioMed Central,"Provides free access to peer-reviewed biomedical research publications. These publications include biology and medicine journal articles, current reports, and meeting abstracts. BioMed Central offers information about current controlled trials, as well as topics in modern biology. All journals are accessible from volume one, issue one.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
BioOne Complete,"A full-text online aggregation of various peer-reviewed research journals covering the biological, ecological, and environmental sciences published by scientific societies, institutions, museums, and presses. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1965 to present"
Biosis Citation Index (BCI),"BIOSIS Citation Index is an expansive index to life sciences and biomedical research covering pre-clinical and experimental research, methods and instrumentation, animal studies, and more. It indexes journal articles, meetings, patents, and books.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 2010 to present"
Bloomberg Businessweek (Asia Edition),Bloomberg Businessweek delivers the business information you need with timely perspectives on the most important issues of today and insights on the global economy complex.<br />  <br />  Coverage: April  2015 - Present
Bloomberg Businessweek (Europe Edition),Bloomberg Businessweek delivers the business information you need with timely perspectives on the most important issues of today and insights on the global economy complex.<br />  <br />  Coverage: April 2015 - Present
Bloomberg Markets,"The magazine gives readers unparalleled access to the most influential people in global business and finance. Bloomberg Markets takes readers inside professional investing; profiling key players in business and finance, tracking firms on the cutting edge and reporting on the latest investment strategies and their impact to the global economy.<br />  <br />  Coverage: September 2014 - Present"
Bloomsbury e-Books,"eBook collections in the arts, humanities and social sciences. Collections available include: African studies, biblical studies, fashion, philosophy, theology, classical studies, film and media, law, Middle East, politics, art, linguistics, religious studies, education, history, literary studies, and sociology.<br />  Availability: Full text"
Bloomsbury Philosophy Library,"A digital library that provides access to specialized philosophy collections: Bloomsbury History of Modern Aesthetics, Bloomsbury 20th Century French Thought, and  Bloomsbury Encyclopedia of Philosophers. Content set includes access to primary texts in translation, newly-digitized modern sources, secondary literature eBooks, exclusive articles and encyclopedia entries. <br />  Availability: Full-text"
BMJ case reports,"A peer reviewed journal that provides a collection of case reports in all disciplines for health care professionals and researchers.  This is the largest single collection of case reports online with more than 11,000 articles from over 70 countries. Full-text articles can be browsed by medical specialty, type of case, presence of images and/or video content, currency and viewer popularity."
BMJ Journals,"A collection of 33 full-text journals published by the British Medical Association and covering public health and medical topics. All are accessible from volume one, issue one. <br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
Boardex Academic Research Data: North America & United Kingdom (WRDS),"Extensive global data about the boards of more than 24,000 publicly listed and notable private companies. Data included: Executive stock option holdings, education, prior employment, connections of directors and executives, proportion of politically connected directors, CEO-level controls such as age, gender, and experience. <br />  <br />  Availability: Data and statistics<br />  Date Coverage: 1999 to present"
BoardVitals,"BoardVitals provides medical and healthcare specialty examinations and continuing education, helping practitioners prepare for licensing and initial certification exams, maintenance of certification (MOC) requirements, and continuing professional education, covering more than 50 specialty areas and exams. <br />  <br />  Users should create an account to access all Banks.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current"
"Boston Globe, The (first-time users should click on &quot;more&quot; to create an account)","Daily newspaper published in Boston. The newspaper covers local, regional, and international news on politics, business, arts, education, health, technology, sports, and more. This digital edition provides full-text coverage from the year 1823 to the present.  The library has 19 accounts on first come first served basis. <br />  Availability: Full-text<br />  Date Coverage: 1823 - Present<br />  "
Brill Dictionary of Religion,"Comprehensive reference work describing and analyzing the multi-faceted roles of religions, historically and in contemporary societies. This dictionary covers a wide range of theologies, religions and religious phenomena on a global scale.<br />  Entries are organized in thematic fields including the human being, environment, society, culture, history of religion, elements of religious systems, and more. <br />  <br />  Availability: Full-text<br />  Date Coverage: 2006"
Brill E-Books,"Collection of electronic books from Brill focusing on Middle Eastern art, history, culture, language, Islamic studies, philosophy, theology, mysticism, sociology and political studies. <br />  <br />  Availability: Full-text<br />  Date Coverage: Complete collection"
Brill Encyclopedia of Early Christianity Online,"A comprehensive reference work published by BRILL that is focused on the history of early Christianity; covering texts, authors, ideas, and their reception. Subjects covered: iconographic, martyrological, ecclesiastical, Christological traditions and more.<br />  <br />  Availability: Full-text<br />  Date Coverage: - - - -"
Brill Online Journals,"The database provides full text access to scholarly journal articles, covering Ancient Near East, Humanities, Middle East and Islamic Studies.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
